19시 10분 34초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 52초    0   26.73    0.00   10.89   25.74    0.00    1.98    0.00    0.00    0.00   34.65
19시 10분 52초    1   29.13    0.00    6.80   25.24    0.00    3.88    0.00    0.00    0.00   34.95
19시 10분 52초    2   26.73    0.00   12.87   29.70    0.00    1.98    0.00    0.00    0.00   28.71
19시 10분 52초    3   37.89    0.00   10.53   22.11    0.00    4.21    0.00    0.00    0.00   25.26
19시 10분 52초    4   32.32    0.00   11.11   14.14    0.00    3.03    0.00    0.00    0.00   39.39
19시 10분 52초    5   93.07    0.00    6.93    0.00    0.00    0.00    0.00    0.00    0.00    0.00
19시 10분 52초    6   28.16    0.00   11.65   24.27    0.00    2.91    0.00    0.00    0.00   33.01
19시 10분 52초    7   22.22    0.00   10.10   29.29    0.00    5.05    0.00    0.00    0.00   33.33
19시 10분 52초    8   26.53    0.00    8.16   26.53    0.00    2.04    0.00    0.00    0.00   36.73
19시 10분 52초    9   35.35    0.00   10.10   15.15    0.00    2.02    0.00    0.00    0.00   37.37
19시 10분 52초   10   39.00    0.00   10.00   13.00    0.00    2.00    0.00    0.00    0.00   36.00
19시 10분 52초   11   35.71    0.00    6.12   13.27    0.00    3.06    0.00    0.00    0.00   41.84

19시 10분 52초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 53초  all   34.68    0.00    8.35   20.42    0.00    3.46    0.00    0.00    0.00   33.08
19시 10분 53초    0   26.47    0.00    5.88   27.45    0.00    4.90    0.00    0.00    0.00   35.29
19시 10분 53초    1   21.21    0.00    7.07   27.27    0.00    5.05    0.00    0.00    0.00   39.39
19시 10분 53초    2   38.38    0.00    8.08   24.24    0.00    3.03    0.00    0.00    0.00   26.26
19시 10분 53초    3   36.17    0.00    9.57   20.21    0.00    7.45    0.00    0.00    0.00   26.60
19시 10분 53초    4   33.66    0.00   11.88   13.86    0.00    2.97    0.00    0.00    0.00   37.62
19시 10분 53초    5   83.00    0.00    6.00    2.00    0.00    0.00    0.00    0.00    0.00    9.00
19시 10분 53초    6   22.22    0.00   12.12   26.26    0.00    5.05    0.00    0.00    0.00   34.34
19시 10분 53초    7   25.74    0.00    7.92   31.68    0.00    3.96    0.00    0.00    0.00   30.69
19시 10분 53초    8   21.65    0.00    7.22   28.87    0.00    3.09    0.00    0.00    0.00   39.18
19시 10분 53초    9   35.42    0.00    7.29   16.67    0.00    3.12    0.00    0.00    0.00   37.50
19시 10분 53초   10   38.30    0.00    8.51   12.77    0.00    1.06    0.00    0.00    0.00   39.36
19시 10분 53초   11   33.98    0.00    8.74   13.59    0.00    1.94    0.00    0.00    0.00   41.75

19시 10분 53초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
19시 10분 54초  all   34.07    0.00    7.48   19.71    0.00    2.89    0.00    0.00    0.00   35.85
